,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.9150055292082402,0.9999998767118038,2024-05-19 23:50:11.372030,2024-05-19 23:50:12.090723,0 days 00:00:00.718693,7.518414640739241,7.545495066557962e-05,0.3171463681627406,0.009811246689099551,0.003131759717252313,"{'AUC_ROCs': [0.9574973784790063, 0.8559520375258503, 0.9315671716198639], 'S_relative_errors': [0.9999997909973111, 1.0000000023973397, 0.9999998367407607], 'X_relative_errors': [3.5330155831132517, 3.774137315929745, 3.5452408562027378], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 32, 31], 'primal_residual': [array(0.00041979), array(5.66173439e-05), array(0.0003588)], 'dual_residual': [array(1.12188814e-05), array(7.14796651e-06), array(6.02649303e-06)], 'times': [0.47267960594035685, 0.49980753054842353, 0.4822386181913316]}",0,COMPLETE
1,1,0.9825222185207966,0.9999993982278054,2024-05-19 23:50:12.092766,2024-05-19 23:50:12.841745,0 days 00:00:00.748979,7.071405103856251,1.2124578562378705,0.0022314838600934256,0.12383620558759816,0.4825686647349378,"{'AUC_ROCs': [0.9844292749375391, 0.9849567268074135, 0.9781806538174372], 'S_relative_errors': [0.9999993961013608, 0.9999993996930653, 0.99999939888899], 'X_relative_errors': [3.4812928668382277, 3.7204474870824726, 3.494559273843828], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [30, 30, 30], 'primal_residual': [array(0.00095718), array(0.00097162), array(0.00097549)], 'dual_residual': [array(5.0876701e-05), array(5.13742834e-05), array(5.15738687e-05)], 'times': [0.502810190198943, 0.4668354869354516, 0.49564073188230395]}",0,COMPLETE
2,2,0.831303534014058,0.9999999999822106,2024-05-19 23:50:12.843417,2024-05-19 23:50:15.314350,0 days 00:00:02.470933,6.986152827246301,0.9155505879346522,15.730986976956428,0.021295868964927522,0.4211361150635867,"{'AUC_ROCs': [0.8339597219343017, 0.8266001501130887, 0.8333507299947835], 'S_relative_errors': [0.9999999999800587, 0.9999999999834296, 0.9999999999831434], 'X_relative_errors': [2.774960265165463, 2.9534985259358457, 2.793160450328144], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00769839), array(0.00728551), array(0.00717058)], 'dual_residual': [array(0.00023733), array(0.00022549), array(0.00022143)], 'times': [2.212103748926893, 2.2320894601289183, 2.2389065041206777]}",0,COMPLETE
3,3,0.9917167119796577,0.11587022937500707,2024-05-19 23:50:15.316016,2024-05-19 23:50:17.863528,0 days 00:00:02.547512,0.22596411215360135,0.3781859682835906,10.087185561425626,0.003339547300162244,0.014719613379627423,"{'AUC_ROCs': [0.9932780835426235, 0.9931345879716869, 0.9887374644246628], 'S_relative_errors': [0.1158400597778609, 0.11644089322378728, 0.11532973512337301], 'X_relative_errors': [0.462260515657413, 0.4866338752516022, 0.45452841413158807], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.07290987), array(0.07393392), array(0.07279698)], 'dual_residual': [array(0.02608184), array(0.02715631), array(0.02519914)], 'times': [2.2832025117240846, 2.292880206136033, 2.3038801848888397]}",0,COMPLETE
4,4,0.9634925479778121,0.9999999325829689,2024-05-19 23:50:17.866038,2024-05-19 23:50:18.621645,0 days 00:00:00.755607,3.12513460710626,3.8978345847194267,0.022008292448988772,0.009472683522989762,0.11689038688840077,"{'AUC_ROCs': [0.9643564776198921, 0.9676386032503592, 0.9584825630631854], 'S_relative_errors': [0.9999999315874342, 0.9999999333354113, 0.9999999328260615], 'X_relative_errors': [3.5386602384841725, 3.7803588837269633, 3.5508223130735126], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 31, 31], 'primal_residual': [array(0.00015392), array(0.00015438), array(0.00015571)], 'dual_residual': [array(1.80138023e-06), array(1.8069358e-06), array(1.82106135e-06)], 'times': [0.5164762367494404, 0.47593375807628036, 0.4860975216142833]}",0,COMPLETE
5,5,0.953364215575298,0.39048980869254307,2024-05-19 23:50:18.625094,2024-05-19 23:50:21.095374,0 days 00:00:02.470280,3.7123290423344524,5.571956274782974e-05,0.0016203425075272122,36.083024914127364,0.006543452106512503,"{'AUC_ROCs': [0.9535972459947787, 0.9583725015007214, 0.9481228992303937], 'S_relative_errors': [0.3969947112470861, 0.3932247272438633, 0.38124998758668], 'X_relative_errors': [0.9952228877830217, 0.9943994916974861, 0.9951563249060077], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.15713801), array(0.17952131), array(0.16667925)], 'dual_residual': [array(0.13161187), array(0.096866), array(0.13070398)], 'times': [2.231179955182597, 2.2219120785593987, 2.2445443612523377]}",0,COMPLETE
6,6,0.9379225663263268,0.8046957685301184,2024-05-19 23:50:21.098597,2024-05-19 23:50:23.206726,0 days 00:00:02.108129,0.0012685262174328344,7.9623810848420264,0.0783219322301071,3.258372819898661,0.027223280500181125,"{'AUC_ROCs': [0.9417102315324692, 0.9389230402604415, 0.9331344271860696], 'S_relative_errors': [0.8038303030084837, 0.807424963309202, 0.8028320392726693], 'X_relative_errors': [2.4561015100896166, 2.646836087280707, 2.4703069953177454], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [118, 119, 118], 'primal_residual': [array(0.00091371), array(0.00085002), array(0.00095205)], 'dual_residual': [array(0.00029408), array(0.00028853), array(0.0002715)], 'times': [1.8511472414247692, 1.8105683375615627, 1.7861994304694235]}",0,COMPLETE
7,7,0.9701184015608807,0.2704860560389302,2024-05-19 23:50:23.212515,2024-05-19 23:50:25.710226,0 days 00:00:02.497711,0.013999558763668464,0.0017233906321453376,0.3291991351380853,5.178405326041332,0.09879873411005433,"{'AUC_ROCs': [0.9725056084632951, 0.9737391327309844, 0.9641104634883624], 'S_relative_errors': [0.2767518047376346, 0.25885156827723854, 0.27585479510191746], 'X_relative_errors': [1.0000954692372463, 1.0000868215698875, 1.0001050139858727], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00579213), array(0.00587453), array(0.00587894)], 'dual_residual': [array(0.00122973), array(0.00117805), array(0.00127702)], 'times': [2.141265130136162, 2.1844212538562715, 2.187205869005993]}",0,COMPLETE
8,8,0.9683556544586874,0.27217279417604745,2024-05-19 23:50:25.713182,2024-05-19 23:50:28.236739,0 days 00:00:02.523557,0.01277857735803461,0.0002669007252738979,0.4101129413243117,0.15589753630709893,0.17730548122032996,"{'AUC_ROCs': [0.9715460324936788, 0.9734339921976806, 0.960086938684703], 'S_relative_errors': [0.27840667263207197, 0.2605807281290057, 0.27753098176706464], 'X_relative_errors': [0.999963292065464, 0.9998361382488246, 0.9998214862798874], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00308118), array(0.00349337), array(0.0039672)], 'dual_residual': [array(0.00122033), array(0.00125231), array(0.00120786)], 'times': [2.1788225499913096, 2.1953687658533454, 2.254893986042589]}",0,COMPLETE
9,9,0.9328039232771572,0.8049104002947173,2024-05-19 23:50:28.244174,2024-05-19 23:50:29.658721,0 days 00:00:01.414547,0.005880748400384039,48.96403231170577,0.006830228868648099,1.6020260861429314,0.9639129840792106,"{'AUC_ROCs': [0.9411485725068237, 0.9346440261696911, 0.9226191711549571], 'S_relative_errors': [0.8039877790647676, 0.8074413267103292, 0.8033020951090549], 'X_relative_errors': [2.5470178739246006, 2.7412148557280482, 2.560702312121268], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [75, 72, 75], 'primal_residual': [array(0.00099981), array(0.00098067), array(0.00093571)], 'dual_residual': [array(0.00024448), array(0.00029973), array(0.0002691)], 'times': [1.1450932803563774, 1.091387026477605, 1.1551902261562645]}",0,COMPLETE
