,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.5958958635314423,0.9999999999778529,2024-05-19 23:37:00.080717,2024-05-19 23:37:02.645086,0 days 00:00:02.564369,4.8890887361627975,0.6310250378255431,0.005306176686328036,0.31847458284504165,16.756964742492517,"{'AUC_ROCs': [0.5878482452320184, 0.6016886468905029, 0.5981506984718057], 'S_relative_errors': [0.999999999977814, 0.9999999999817614, 0.9999999999739837], 'X_relative_errors': [1.6834896679594853, 1.823034609093223, 1.7289910043639647], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00737005), array(0.00685514), array(0.00818853)], 'dual_residual': [array(0.00020974), array(0.00019544), array(0.00023261)], 'times': [2.298738167854026, 2.268150649499148, 2.283000652678311]}",0,COMPLETE
1,1,0.9966491495053512,0.03204844376299593,2024-05-19 23:37:02.646958,2024-05-19 23:37:05.232097,0 days 00:00:02.585139,0.0008435826957695319,0.09593488508781682,0.7119336189478586,1.5122195868499737,0.004168108182128334,"{'AUC_ROCs': [0.9959087846585867, 0.9989838651284024, 0.9950547987290644], 'S_relative_errors': [0.03179268304006366, 0.03021264155576202, 0.034140006693162125], 'X_relative_errors': [0.12113595207176694, 0.12579043285156957, 0.12762131203595498], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.02127405), array(0.02239158), array(0.0210814)], 'dual_residual': [array(0.00122185), array(0.00161814), array(0.00137571)], 'times': [2.3268642108887434, 2.289173364173621, 2.274963555857539]}",0,COMPLETE
2,2,0.9638738885465884,0.9999993796411565,2024-05-19 23:37:05.233596,2024-05-19 23:37:05.947782,0 days 00:00:00.714186,4.0162330941893165,0.0035420091919793144,0.0011362465646718334,0.004735217797871711,0.8404386543782079,"{'AUC_ROCs': [0.9661660137834285, 0.9659338946823324, 0.9595217571740045], 'S_relative_errors': [0.9999993808241903, 0.999999379382069, 0.99999937871721], 'X_relative_errors': [3.4522765621896268, 3.6900915568020713, 3.4661383155462886], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [30, 30, 30], 'primal_residual': [array(0.00097233), array(0.00098793), array(0.0009939)], 'dual_residual': [array(6.25033573e-05), array(6.31264508e-05), array(6.33924014e-05)], 'times': [0.47103966516442597, 0.4736533414106816, 0.47524955146946013]}",0,COMPLETE
3,3,0.9436457747378452,0.8052145592503311,2024-05-19 23:37:05.950361,2024-05-19 23:37:08.536370,0 days 00:00:02.586009,0.013125037811714464,7.775475579758996,3.5817642561177268,0.0012222176377436015,1.014662961039475,"{'AUC_ROCs': [0.9435279472092633, 0.9430956892826547, 0.9443136877216176], 'S_relative_errors': [0.804701588663617, 0.8071667650254507, 0.8037753240619256], 'X_relative_errors': [2.51276377695924, 2.6966897821937508, 2.5236524534940012], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00333715), array(0.00324725), array(0.0031477)], 'dual_residual': [array(0.00013484), array(0.00020542), array(0.00016062)], 'times': [2.322678464697674, 2.259622812503949, 2.3066275243181735]}",0,COMPLETE
4,4,0.999567143607761,0.007471644944946125,2024-05-19 23:37:08.537835,2024-05-19 23:37:11.086195,0 days 00:00:02.548360,0.004302543289516029,0.020173106860304383,0.30180232825472125,0.0012599080834590588,0.39293652878646185,"{'AUC_ROCs': [0.9998885539328047, 0.9998861198111687, 0.9989267570793093], 'S_relative_errors': [0.007652978618499053, 0.007367058975704647, 0.0073948972406346755], 'X_relative_errors': [0.033295023365810104, 0.03391931703898988, 0.03191318114246843], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01556506), array(0.01453401), array(0.01592409)], 'dual_residual': [array(0.00363693), array(0.00400365), array(0.00427364)], 'times': [2.3266899886075407, 2.2504240735433996, 2.249732813797891]}",0,COMPLETE
5,5,0.9687282933293183,0.27228087665036704,2024-05-19 23:37:11.091513,2024-05-19 23:37:13.457899,0 days 00:00:02.366386,0.002263329953587377,4.005587947224427e-05,5.558938395258233,41.92903906290589,96.67811832525669,"{'AUC_ROCs': [0.9712156839878321, 0.9722058563155732, 0.9627633396845496], 'S_relative_errors': [0.2785452527861774, 0.26065156890783236, 0.2776458082570914], 'X_relative_errors': [1.0001016169723775, 1.0000911374888248, 1.000094711857302], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00067974), array(0.00065641), array(0.00070531)], 'dual_residual': [array(0.00081209), array(0.00082738), array(0.00082563)], 'times': [2.0854462266433984, 2.11396924383007, 2.1059356082696468]}",0,COMPLETE
6,6,0.9682418661571902,0.27465750243435294,2024-05-19 23:37:13.459570,2024-05-19 23:37:15.811394,0 days 00:00:02.351824,0.00023082216124385905,1.790719268228385e-05,1.7037848381593903,9.223660035140119,0.3390133461533042,"{'AUC_ROCs': [0.972124804851008, 0.9702510328184387, 0.9623497608021236], 'S_relative_errors': [0.2809546933979442, 0.262993730000404, 0.2800240839047105], 'X_relative_errors': [1.0000057516836955, 0.9999867786968519, 0.9999963934665393], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00158381), array(0.00163846), array(0.00169359)], 'dual_residual': [array(0.00042699), array(0.00042638), array(0.00042176)], 'times': [2.096034697489813, 2.114733646856621, 2.113937963033095]}",0,COMPLETE
7,7,0.7361512880903748,1.0000000000162075,2024-05-19 23:37:15.816941,2024-05-19 23:37:17.125196,0 days 00:00:01.308255,1.3529296994565043,0.0002979085675785875,0.4695825776252464,3.671809357673479,0.001323972474980732,"{'AUC_ROCs': [0.7348801583304916, 0.6685586594942443, 0.8050150464463883], 'S_relative_errors': [0.9999999999999055, 1.0000000000126876, 1.0000000000360294], 'X_relative_errors': [3.081265648802547, 3.3023959700995724, 3.102495828412491], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [71, 44, 54], 'primal_residual': [array(0.0005457), array(0.00091115), array(0.00088729)], 'dual_residual': [array(9.54189792e-06), array(2.24053486e-05), array(2.69452571e-05)], 'times': [1.0752347665838897, 0.6714792416896671, 0.8689938937313855]}",0,COMPLETE
8,8,0.9481632077571618,0.6496173372554228,2024-05-19 23:37:17.129696,2024-05-19 23:37:19.688034,0 days 00:00:02.558338,0.005654213123358028,0.004977850590043965,0.0271745495395485,0.02830174597884741,0.09983925244163867,"{'AUC_ROCs': [0.9504405728216169, 0.949362570481382, 0.9446864799684866], 'S_relative_errors': [0.6471536750123523, 0.6499448416793573, 0.6517534950745589], 'X_relative_errors': [2.2902779511768854, 2.457327377333038, 2.3145914775392074], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00203535), array(0.00213798), array(0.00189689)], 'dual_residual': [array(0.02073564), array(0.02082619), array(0.02100217)], 'times': [2.340328014921397, 2.2867240039631724, 2.2806257237680256]}",0,COMPLETE
9,9,0.8995446007533373,0.9337587743391307,2024-05-19 23:37:19.695056,2024-05-19 23:37:22.206629,0 days 00:00:02.511573,2.855933505149378,0.1730549610477881,55.15787165109975,6.665287048419853,0.3759551791993494,"{'AUC_ROCs': [0.8974060155507002, 0.9172146756343605, 0.8840131110749511], 'S_relative_errors': [0.9350588787456243, 0.9287021736904668, 0.9375152705813007], 'X_relative_errors': [1.0784797320681812, 1.0891079173402736, 1.1045789075333494], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.15642931), array(0.13243314), array(0.16124094)], 'dual_residual': [array(0.00489594), array(0.00704349), array(0.00809587)], 'times': [2.1980959703214467, 2.2182887967210263, 2.2273887740448117]}",0,COMPLETE
