,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.8323969275118701,0.9999997300681516,2024-05-19 23:30:45.912065,2024-05-19 23:30:46.718118,0 days 00:00:00.806053,2.6400149435425737,33.676993247890046,0.0026072873178104345,0.3206936749115682,0.0014698848321864852,"{'AUC_ROCs': [0.8311567451617965, 0.8385554966199569, 0.827478540753857], 'S_relative_errors': [0.999999742025512, 0.9999997205067309, 0.9999997276722118], 'X_relative_errors': [3.5160669853515345, 3.7567929840498544, 3.5286662558930844], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [29, 29, 29], 'primal_residual': [array(0.00054532), array(0.00057963), array(0.00056805)], 'dual_residual': [array(4.9313232e-05), array(5.07037478e-05), array(5.06400324e-05)], 'times': [0.4784110118634999, 0.48859637742862105, 0.48341089813038707]}",0,COMPLETE
1,1,0.8526698030555876,1.0000000430385425,2024-05-19 23:30:46.718866,2024-05-19 23:30:47.555369,0 days 00:00:00.836503,0.1432331331649576,0.8568882072507892,0.006116954933462509,0.08150941851510878,0.003706788370688245,"{'AUC_ROCs': [0.8555581192376395, 0.8570612778090577, 0.8453900121200657], 'S_relative_errors': [1.0000000416688422, 1.0000000446940982, 1.000000042752687], 'X_relative_errors': [3.544766768737509, 3.786774381796718, 3.5568106539622706], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [34, 34, 34], 'primal_residual': [array(0.00018678), array(0.00019228), array(0.00019179)], 'dual_residual': [array(7.10225962e-06), array(7.27602783e-06), array(7.27553822e-06)], 'times': [0.5578958527185023, 0.5510229738429189, 0.5535899396054447]}",0,COMPLETE
2,2,0.9652062995318911,0.3226836275433895,2024-05-19 23:30:47.556107,2024-05-19 23:30:50.100931,0 days 00:00:02.544824,0.7222976774080225,0.017165822867769038,0.2462740921290861,19.65426445867639,49.73004365861897,"{'AUC_ROCs': [0.9666201182346225, 0.9693081517151547, 0.959690628645896], 'S_relative_errors': [0.32872082359639493, 0.3210456077578184, 0.3182844512759551], 'X_relative_errors': [0.9993164266235766, 0.9993291912025978, 0.9993203382404278], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00417385), array(0.00395627), array(0.00423414)], 'dual_residual': [array(0.00034763), array(0.00035704), array(0.00035207)], 'times': [2.2178113718982786, 2.2295120100025088, 2.2531430604867637]}",0,COMPLETE
3,3,0.9455613465839994,1.0000003450585144,2024-05-19 23:30:50.102230,2024-05-19 23:30:51.112145,0 days 00:00:01.009915,0.053857718842351555,0.5636890747194321,0.019584718543746646,0.0047710346564929056,0.005842303524994648,"{'AUC_ROCs': [0.9552911850239725, 0.9694370813321155, 0.9119557733959105], 'S_relative_errors': [1.0000005323736263, 1.0000004098252604, 1.0000000929766562], 'X_relative_errors': [3.5529939954439786, 3.795350916639248, 3.5648817362457077], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [43, 42, 44], 'primal_residual': [array(0.00098033), array(0.00099582), array(0.00029251)], 'dual_residual': [array(3.22691044e-05), array(2.78376521e-05), array(2.39792662e-06)], 'times': [0.6873228778131306, 0.6768325096927583, 0.7211700179614127]}",0,COMPLETE
4,4,0.9856638521596212,0.18917761485864384,2024-05-19 23:30:51.113290,2024-05-19 23:30:53.484220,0 days 00:00:02.370930,0.040160107557172066,0.49629066414359646,4.341488146376656,40.31746529086876,88.88079654036041,"{'AUC_ROCs': [0.9882652336223139, 0.9879152111424321, 0.9808111117141173], 'S_relative_errors': [0.1910850093383644, 0.1874667234028078, 0.18898111183475946], 'X_relative_errors': [0.9969520982616665, 0.9973251906883522, 0.9973820882655934], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.16178698), array(0.160027), array(0.14890979)], 'dual_residual': [array(0.00575133), array(0.00633714), array(0.00734421)], 'times': [2.1531354966573417, 2.153257067548111, 2.168312191963196]}",0,COMPLETE
5,5,0.939486235484746,1.000000388714537,2024-05-19 23:30:53.485981,2024-05-19 23:30:54.480406,0 days 00:00:00.994425,0.046331317692967465,0.027086185924410092,0.01128552754655629,0.017132340769751744,0.04865944511776811,"{'AUC_ROCs': [0.9733195244421968, 0.8908471330982254, 0.9542920489138156], 'S_relative_errors': [1.0000006440844273, 1.0000000184850701, 1.0000005035741137], 'X_relative_errors': [3.54681264144695, 3.7888974516550773, 3.5588028826107716], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [51, 51, 51], 'primal_residual': [array(0.00094698), array(0.00012222), array(0.00080875)], 'dual_residual': [array(2.46009544e-05), array(5.2043196e-06), array(1.84998979e-05)], 'times': [0.7897363821975887, 0.7914090931881219, 0.7993629896081984]}",0,COMPLETE
6,6,0.968821155810846,0.9999995986635243,2024-05-19 23:30:54.482195,2024-05-19 23:30:55.164892,0 days 00:00:00.682697,1.2165486564148538,0.1658472003992809,0.054712964880843755,0.016453554981594162,1.3002008739493522,"{'AUC_ROCs': [0.9711429022977318, 0.9752750900722877, 0.9600454750625185], 'S_relative_errors': [0.9999995928709524, 0.9999996017625707, 0.9999996013570496], 'X_relative_errors': [3.3913507211014355, 3.6263787027068, 3.4063047219738203], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 31, 31], 'primal_residual': [array(0.00081096), array(0.00082439), array(0.00081136)], 'dual_residual': [array(3.13741184e-05), array(3.16046876e-05), array(3.13102897e-05)], 'times': [0.47486552805639803, 0.4811884101945907, 0.4839408742263913]}",0,COMPLETE
7,7,0.9681752797856586,0.9991089863361631,2024-05-19 23:30:55.166673,2024-05-19 23:30:57.675432,0 days 00:00:02.508759,5.49664866351169,0.0008580295665561507,0.8260282339708167,1.4468091555786502,47.803412329135014,"{'AUC_ROCs': [0.9700815784702276, 0.9730987048392652, 0.9613455560474832], 'S_relative_errors': [0.9975691372143161, 0.9998076912524886, 0.9999501305416848], 'X_relative_errors': [0.9996437972565795, 0.999663073342634, 0.9996470512360066], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00563593), array(0.01209679), array(0.00789301)], 'dual_residual': [array(0.01467537), array(0.81914109), array(0.752555)], 'times': [2.253424354363233, 2.2562804769258946, 2.307829831028357]}",0,COMPLETE
8,8,0.9392382577682957,0.8047585588789756,2024-05-19 23:30:57.677441,2024-05-19 23:31:00.216277,0 days 00:00:02.538836,0.00435917815926314,11.71486283852665,3.553252175615702,0.029533239341057876,1.674408415262443,"{'AUC_ROCs': [0.9350406509015973, 0.9382909200410645, 0.9443832023622256], 'S_relative_errors': [0.8046603862051795, 0.8069523322849133, 0.8026629581468341], 'X_relative_errors': [2.433920465017716, 2.6130547545436653, 2.4413329014765495], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00443766), array(0.00421996), array(0.00357805)], 'dual_residual': [array(0.00017268), array(0.00020541), array(0.00015395)], 'times': [2.3158599257003516, 2.3363852112088352, 2.324570514727384]}",0,COMPLETE
9,9,0.9684470936437609,0.27056782328398077,2024-05-19 23:31:00.218524,2024-05-19 23:31:02.568821,0 days 00:00:02.350297,0.0019465421140157661,0.0012677163858916614,0.3737795017502533,0.7058955419960247,0.257019618541095,"{'AUC_ROCs': [0.9683814829094768, 0.9741330582812096, 0.9628267397405963], 'S_relative_errors': [0.2766384688071193, 0.2590013744755304, 0.2760636265692927], 'X_relative_errors': [0.9999700084001607, 0.9999613765350203, 0.9999639244070323], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [146, 147, 146], 'primal_residual': [array(0.00099332), array(0.00097031), array(0.00097537)], 'dual_residual': [array(0.00034084), array(0.00032233), array(0.00036409)], 'times': [2.098751031095162, 2.1279370912816375, 2.1436565613839775]}",0,COMPLETE
