model,SNR,radius,duration,noa,seed,lda_1,lda_t,lda_l,psi,BIC,AUC-PRC,AUC-ROC,S_err,L_err
[SNN]-[LOGN],30,2,8,350,2,0.07413595894410385,0,0,0.9258640410558961,4928128.074233157,0.9537161707182287,0.9208781587641878,0.222205581469219,0.99999309410664
[SNN]-[LOGN],20,2,8,350,2,0.0761715019338205,0,0,0.9238284980661795,4899379.201368429,0.9529363493188796,0.9188527127996098,0.2243863501313159,0.9999939392004225
[SNN]-[LOGN],10,2,8,350,2,0.08056614125797501,0,0,0.919433858742025,4877096.815720754,0.9483828134594451,0.9108681996948194,0.24602354864056222,0.9999964499270783
[SNN]-[LOGN],0,2,8,350,2,0.08452236357150622,0,0,0.9154776364284938,4858865.503456775,0.9044285512046455,0.8391443995441865,0.4035201121877424,1.000011043668964
[SNN]-[LOGN],-10,2,8,350,2,0.0959617319987901,0,0,0.9040382680012099,4814006.880695501,0.7411256408593987,0.6421628136769372,1.0890425256810619,1.0000202770704427
