model,SNR,radius,duration,noa,seed,lda_1,lda_t,lda_l,psi,BIC,AUC-PRC,AUC-ROC,S_err,L_err
[SNN]-[LOGN],30,2,8,350,0,0.06964540984372203,0,0,0.930354590156278,4934560.167225649,0.8789803418957756,0.8591717614894507,0.3708216443750421,0.9999875721024076
[SNN]-[LOGN],20,2,8,350,0,0.06981317759187289,0,0,0.9301868224081271,4933585.736919933,0.8710208955516555,0.8469310749751382,0.37481272935857174,0.9999935653601948
[SNN]-[LOGN],10,2,8,350,0,0.07905674412975294,0,0,0.9209432558702471,4882998.448103939,0.8580374081239542,0.8285045391404029,0.4113853004481405,0.9999965369287893
[SNN]-[LOGN],0,2,8,350,0,0.10845725745020995,0,0,0.89154274254979,4766524.591604967,0.7761141249841033,0.7404183824378969,0.6755250411095493,0.9999964707617671
[SNN]-[LOGN],-10,2,8,350,0,0.14974864217381767,0,0,0.8502513578261823,4675930.121074451,0.5750048733886436,0.5771062803179648,1.8214140258277034,0.9999999510573386
[SNN]-[LOGN],30,2,8,350,1,0.06964540984372203,0,0,0.930354590156278,4934560.167225649,0.8789803418957756,0.8591717614894507,0.3708216443750421,0.9999875721024076
[SNN]-[LOGN],20,2,8,350,1,0.06981317759187289,0,0,0.9301868224081271,4933585.736919933,0.8710208955516555,0.8469310749751382,0.37481272935857174,0.9999935653601948
[SNN]-[LOGN],10,2,8,350,1,0.07905674412975294,0,0,0.9209432558702471,4882998.448103939,0.8580374081239542,0.8285045391404029,0.4113853004481405,0.9999965369287893
[SNN]-[LOGN],0,2,8,350,1,0.10845725745020995,0,0,0.89154274254979,4766524.591604967,0.7761141249841033,0.7404183824378969,0.6755250411095493,0.9999964707617671
[SNN]-[LOGN],-10,2,8,350,1,0.15077990188446122,0,0,0.8492200981155388,4673532.557955569,0.608316517695186,0.5980123555063948,1.5062892477738958,0.9999947801804748
[SNN]-[LOGN],30,2,8,350,2,0.07127170486718748,0,0,0.9287282951328125,4925019.659865579,0.876588809491305,0.8474705063662471,0.3575806695913318,0.9999889396334424
[SNN]-[LOGN],20,2,8,350,2,0.06981317759187289,0,0,0.9301868224081271,4933585.736919933,0.8710208955516555,0.8469310749751382,0.37481272935857174,0.9999935653601948
[SNN]-[LOGN],10,2,8,350,2,0.07905674412975294,0,0,0.9209432558702471,4882998.448103939,0.8580374081239542,0.8285045391404029,0.4113853004481405,0.9999965369287893
[SNN]-[LOGN],0,2,8,350,2,0.10845725745020995,0,0,0.89154274254979,4766524.591604967,0.7761141249841033,0.7404183824378969,0.6755250411095493,0.9999964707617671
[SNN]-[LOGN],-10,2,8,350,2,0.15457599810117462,0,0,0.8454240018988254,4668286.302413713,0.592707608335178,0.5783474891764246,1.7515959864177482,1.000001139640216
