model,SNR,radius,duration,noa,seed,lda_1,lda_t,lda_l,psi,BIC,AUC-PRC,AUC-ROC,S_err,L_err
[SNN]-[LOGN],30,2,8,350,2,0.25457417255261217,0,0,0.7454258274473878,13378908.93519298,0.7069303716761494,0.6141537875711875,0.9800103325993078,4.417797654344119
[SNN]-[LOGN],20,2,8,350,2,0.2542078385560701,0,0,0.7457921614439299,13864119.918667171,0.6984298682700644,0.5938064376129725,0.9777988337398622,4.409331760651128
[SNN]-[LOGN],10,2,8,350,2,0.2600047477010634,0,0,0.7399952522989366,14723851.768261796,0.7231930815023447,0.6277229146235419,0.9775668585374635,4.429653410133289
[SNN]-[LOGN],0,2,8,350,2,0.27025771579600855,0,0,0.7297422842039915,14725946.679299762,0.6768808283445471,0.5716342483789366,0.9782996828530132,4.6335009103292535
[SNN]-[LOGN],-10,2,8,350,2,0.33884569911643503,0,0,0.661154300883565,14765100.599558508,0.6288242609976195,0.545643056507395,1.0038101294345265,6.5737878220736015
