,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_psi_2,params_psi_3,params_rho,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.5,0.9999999999999997,2024-05-20 08:41:41.631826,2024-05-20 08:41:47.501391,0 days 00:00:05.869565,1.9573148477791165,65.30279867617524,0.009909697502455343,0.9943508988011197,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [0.9999999999999998, 0.9999999999999998, 0.9999999999999996], 'X_relative_errors': [6.52370599221971, 6.763686705662284, 6.4219100574620125], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [1, 1, 1], 'iterations': [68, 68, 68], 'primal_residual': [0.0007933084829524663, 0.0007661821334203645, 0.0007995746857614501], 'dual_residual': [0.0007933084829524663, 0.0007661821334203645, 0.0007995746857614501], 'times': [1.5178793417289853, 1.2740902800578624, 1.4618745737243444]}",0,COMPLETE
1,1,0.998576617844452,0.1523953516200901,2024-05-20 08:41:47.504336,2024-05-20 08:41:51.947936,0 days 00:00:04.443600,0.000174197207550105,21.786358414748225,65.20387686204961,0.40548179950614455,"{'AUC_ROCs': [0.9984466193050539, 0.998443070306071, 0.9988401639222306], 'S_relative_errors': [0.1536180421183113, 0.14784969751325996, 0.15571831522869903], 'X_relative_errors': [0.9999976386761962, 0.9999980523854312, 0.9999977278184811], 'Sparsity': [0.9982204081632653, 0.9981795918367347, 0.9984897959183674], 'converged': [1, 1, 1], 'iterations': [16, 16, 16], 'primal_residual': [0.0006307451205005223, 0.000625349358096779, 0.0005635785981561102], 'dual_residual': [0.0006307451205005223, 0.000625349358096779, 0.0005635785981561102], 'times': [0.5019204211421311, 0.3181574437767267, 0.6639635658357292]}",0,COMPLETE
2,2,0.994158691907646,0.038488974792871125,2024-05-20 08:41:51.951759,2024-05-20 08:41:54.634051,0 days 00:00:02.682292,0.002607855926386806,0.06052837167278795,22.27668318564384,5.323739143855998e-05,"{'AUC_ROCs': [0.9935862691960253, 0.9947700631199279, 0.9941197434069851], 'S_relative_errors': [0.03890085930994227, 0.036620562395076044, 0.03994550267359506], 'X_relative_errors': [0.7631227468203744, 0.7627871082803487, 0.7644720283046098], 'Sparsity': [0.04460408163265306, 0.04479183673469388, 0.0452734693877551], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [9.133773848771023, 8.724828654118701, 9.276354276857997], 'dual_residual': [9.133773848771023, 8.724828654118701, 9.276354276857997], 'times': [1.722541453083977, 1.938028774689883, 1.6028241619933397]}",0,COMPLETE
3,3,0.5086790180167986,0.9653197379840339,2024-05-20 08:41:54.638244,2024-05-20 08:41:56.872340,0 days 00:00:02.234096,0.0022848972349277788,4.33581489761908,1.6136559931481462,1.5493380614689603e-05,"{'AUC_ROCs': [0.5085817524841915, 0.5068530207394049, 0.5106022808267997], 'S_relative_errors': [0.9632750722091449, 0.9750974943381694, 0.9575866474047874], 'X_relative_errors': [1.7352130717591254, 1.8110058955180457, 1.7069332540824673], 'Sparsity': [0.0007755102040816326, 0.0006204081632653061, 0.0009714285714285714], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [58.43638060390025, 58.806103799174586, 58.70387824109496], 'dual_residual': [58.43638060390025, 58.806103799174586, 58.70387824109496], 'times': [1.541191308759153, 1.5384975119959563, 1.5486296550370753]}",0,COMPLETE
4,4,0.9957162175182531,0.03621511570606692,2024-05-20 08:41:56.875165,2024-05-20 08:41:58.746085,0 days 00:00:01.870920,1.138553088057575,14.611003262879679,1.1263745657198998,0.047956121267525575,"{'AUC_ROCs': [0.9952115695169121, 0.9963929357275554, 0.9955441473102921], 'S_relative_errors': [0.03717759187801784, 0.034125664290486454, 0.03734209094969646], 'X_relative_errors': [0.765926931613458, 0.7649351780891255, 0.7656554161777582], 'Sparsity': [0.044889795918367344, 0.04498775510204082, 0.04562448979591837], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [8.991639006529779, 8.59201683514803, 9.18676748148661], 'dual_residual': [8.991639006529779, 8.59201683514803, 9.18676748148661], 'times': [1.5555908128153533, 1.4114476104732603, 1.407324304804206]}",0,COMPLETE
5,5,0.5,0.9999999999999997,2024-05-20 08:41:58.749981,2024-05-20 08:42:00.472596,0 days 00:00:01.722615,0.9385562171777149,0.004152636091532766,38.809241211988905,1.2702234665259228e-05,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [0.9999999999999998, 0.9999999999999998, 0.9999999999999996], 'X_relative_errors': [1.7862600578336565, 1.8499224342221958, 1.773239481589429], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [60.6478485082238, 60.25749070084811, 61.167971600939914], 'dual_residual': [60.6478485082238, 60.25749070084811, 61.167971600939914], 'times': [1.4114594333805144, 1.3979883689898998, 1.4297597331460565]}",0,COMPLETE
6,6,0.9190164964435795,0.2830179157999046,2024-05-20 08:42:00.476530,2024-05-20 08:42:02.213840,0 days 00:00:01.737310,2.222780251672745,0.18404151323095638,0.8873231173450125,0.025712514514029377,"{'AUC_ROCs': [0.9192411924119241, 0.9220919747520289, 0.9157163221667854], 'S_relative_errors': [0.2804923657967479, 0.2806362181664095, 0.2879251634365562], 'X_relative_errors': [0.8986916279548315, 0.9104543811599849, 0.90612242167628], 'Sparsity': [0.037885714285714286, 0.038212244897959186, 0.03808979591836735], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [18.95374509406817, 18.65644133159301, 19.51355836991644], 'dual_residual': [18.95374509406817, 18.65644133159301, 19.51355836991644], 'times': [1.4151425550226122, 1.4058382054790854, 1.4483536824118346]}",0,COMPLETE
7,7,0.9981560189743189,0.15274402023570707,2024-05-20 08:42:02.215966,2024-05-20 08:42:03.208520,0 days 00:00:00.992554,0.001658300802894057,0.2886548216132734,0.521990116369553,0.40692399862327944,"{'AUC_ROCs': [0.9978260058927583, 0.9981212275620717, 0.998520823468127], 'S_relative_errors': [0.1546634077367462, 0.14784998469574082, 0.15571866827463426], 'X_relative_errors': [0.9999999975300451, 0.9999999973264316, 0.9999999975359429], 'Sparsity': [0.9965795918367347, 0.9966857142857143, 0.9967183673469387], 'converged': [1, 1, 1], 'iterations': [68, 66, 66], 'primal_residual': [0.000991118668029084, 0.0009807912930030042, 0.0009874904118034726], 'dual_residual': [0.000991118668029084, 0.0009807912930030042, 0.0009874904118034726], 'times': [0.6933236978948116, 0.6749823759309947, 0.7214375145267695]}",0,COMPLETE
8,8,0.9979505225757433,0.15274402025661646,2024-05-20 08:42:03.214150,2024-05-20 08:42:04.105655,0 days 00:00:00.891505,0.001959326717610729,0.0408189308265911,65.79414252243448,0.6223549647847252,"{'AUC_ROCs': [0.9978856511132002, 0.9976894460382769, 0.9982764705757526], 'S_relative_errors': [0.15466340774578732, 0.14784998473464142, 0.15571866828942066], 'X_relative_errors': [0.9999999975166938, 0.9999999974909843, 0.9999999976230692], 'Sparsity': [0.9967673469387756, 0.9969142857142858, 0.9970040816326531], 'converged': [1, 1, 1], 'iterations': [55, 52, 54], 'primal_residual': [0.0009880573200116793, 0.000976720149073889, 0.0009853776453759944], 'dual_residual': [0.0009880573200116793, 0.000976720149073889, 0.0009853776453759944], 'times': [0.5284881519619375, 0.5079283223021775, 0.5721748122014105]}",0,COMPLETE
9,9,0.9980389425468615,0.15250414266529103,2024-05-20 08:42:04.110922,2024-05-20 08:42:05.975001,0 days 00:00:01.864079,0.0032623546294550643,18.570413265147465,0.0016037411186048862,0.022470539602800804,"{'AUC_ROCs': [0.9976095286467863, 0.997967181893385, 0.9985401171004132], 'S_relative_errors': [0.15356033871623134, 0.14784706289541064, 0.15610502638423107], 'X_relative_errors': [0.99999376497002, 0.9999914244539249, 0.99999420773862], 'Sparsity': [0.9525469387755102, 0.9392897959183674, 0.9539918367346939], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.04922973180792064, 0.055347524092720465, 0.04853828916236636], 'dual_residual': [0.04922973180792064, 0.055347524092720465, 0.04853828916236636], 'times': [1.5409780226182193, 1.5751321751158684, 1.4687327060382813]}",0,COMPLETE
