,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_psi_2,params_psi_3,params_rho,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.5,0.9999999999999997,2024-05-20 03:55:58.414716,2024-05-20 03:56:00.125621,0 days 00:00:01.710905,0.3777495380410253,0.0033198683254858897,1.576662838683862,0.000348169046506151,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [0.9999999999999996, 0.9999999999999998, 0.9999999999999996], 'X_relative_errors': [1.6584855979111237, 1.7843395265486133, 1.835954003541115], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [55.633620524632555, 57.856895969825786, 63.84258885923675], 'dual_residual': [55.633620524632555, 57.856895969825786, 63.84258885923675], 'times': [1.4309107309672982, 1.4700303841382265, 1.5189797412604094]}",0,COMPLETE
1,1,0.996696681538423,0.004256019973015336,2024-05-20 03:56:00.126411,2024-05-20 03:56:01.840087,0 days 00:00:01.713676,0.30698440224218543,0.07909908191770659,0.005222586703250349,0.19586544787417698,"{'AUC_ROCs': [0.9982232369739829, 0.9957121572712226, 0.9961546503700635], 'S_relative_errors': [0.00457462846257863, 0.004799261680001721, 0.003394169776465656], 'X_relative_errors': [0.028681329098854808, 0.03295981294265239, 0.02431650694961068], 'Sparsity': [0.08131428571428571, 0.09021224489795919, 0.10069387755102041], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.1208270164886363, 0.13610561303530755, 0.11440145874491152], 'dual_residual': [0.1208270164886363, 0.13610561303530755, 0.11440145874491152], 'times': [1.5197409763932228, 1.4783999470528215, 1.4922920735552907]}",0,COMPLETE
2,2,0.9960510611420869,0.15724324347192406,2024-05-20 03:56:01.842641,2024-05-20 03:56:03.597568,0 days 00:00:01.754927,0.002673599488895651,0.7012763407547198,0.06556995932667828,0.012024656067567736,"{'AUC_ROCs': [0.9977587756958998, 0.9949333821976323, 0.9954610255327285], 'S_relative_errors': [0.16843238464944474, 0.15419169230074992, 0.14910565346557744], 'X_relative_errors': [0.9999771402458553, 0.9999717687430433, 0.9999789360187125], 'Sparsity': [0.9263510204081633, 0.9163918367346939, 0.9296408163265306], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.09464442168026263, 0.10055593592631087, 0.09252718523439483], 'dual_residual': [0.09464442168026263, 0.10055593592631087, 0.09252718523439483], 'times': [1.4464215410407633, 1.4972609158139676, 1.451701358659193]}",0,COMPLETE
3,3,0.9922421815885573,1.0048077043105629e+48,2024-05-20 03:56:03.599069,2024-05-20 03:56:05.557521,0 days 00:00:01.958452,2.980508753538015,0.008504376623575552,93.49752779476187,3.1640448980683673,"{'AUC_ROCs': [0.9949483793237006, 0.992888830820363, 0.9888893346216079], 'S_relative_errors': [1.0742451431586567e+48, 1.027988449640692e+48, 9.121895201323395e+47], 'X_relative_errors': [6.377564811518474e+48, 6.666518731229283e+48, 6.117444057612981e+48], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [3.1871605713435003e+50, 3.2009139870285355e+50, 3.1637869411252663e+50], 'dual_residual': [3.1871605713435003e+50, 3.2009139870285355e+50, 3.1637869411252663e+50], 'times': [1.6001024493016303, 1.7110542671289295, 1.6569992417935282]}",0,COMPLETE
4,4,0.9894992934973178,inf,2024-05-20 03:56:05.559009,2024-05-20 03:56:07.394252,0 days 00:00:01.835243,0.007457481356431483,3.939924683815545,0.11098420494837054,49.96249679945924,"{'AUC_ROCs': [0.9939615824315972, 0.989329488521202, 0.9852068095391542], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.5868404919747263, 1.613478978862986, 1.6097254746127874]}",0,COMPLETE
5,5,0.9891206835450447,6.970834241167393e+146,2024-05-20 03:56:07.397467,2024-05-20 03:56:09.297674,0 days 00:00:01.900207,0.0017582956847060041,0.15395232671092224,0.14601961774008027,11.12737921551731,"{'AUC_ROCs': [0.9940080599959837, 0.988785812316044, 0.9845681783231061], 'S_relative_errors': [7.44782228760651e+146, 7.119426031850663e+146, 6.345254404045004e+146], 'X_relative_errors': [4.421613599687193e+147, 4.6169572249107376e+147, 4.2553370753959346e+147], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [7.053918687134029e+149, 7.06238414356098e+149, 7.043616141003223e+149], 'dual_residual': [7.053918687134029e+149, 7.06238414356098e+149, 7.043616141003223e+149], 'times': [1.6180345702450722, 1.6082483446225524, 1.6511219958774745]}",0,COMPLETE
6,6,0.9908663423844642,1.013976066839968e+102,2024-05-20 03:56:09.301036,2024-05-20 03:56:11.266453,0 days 00:00:01.965417,0.016621159973672087,0.033812187869176606,0.9350526753839983,6.026792132964229,"{'AUC_ROCs': [0.9949487368641836, 0.9908680192009834, 0.9867822710882256], 'S_relative_errors': [1.0828817513443762e+102, 1.0334221807154262e+102, 9.256242684601018e+101], 'X_relative_errors': [6.428838516414324e+102, 6.701756549322316e+102, 6.207541915031111e+102], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [5.715799986646981e+104, 5.7022588942933444e+104, 5.709795245602442e+104], 'dual_residual': [5.715799986646981e+104, 5.7022588942933444e+104, 5.709795245602442e+104], 'times': [1.614614506950602, 1.708477183477953, 1.6424354203045368]}",0,COMPLETE
7,7,0.9898134602009717,0.049461019734226175,2024-05-20 03:56:11.269169,2024-05-20 03:56:12.909489,0 days 00:00:01.640320,0.004802220113159684,0.12103041904077878,0.22320948650214303,0.00011316376875630273,"{'AUC_ROCs': [0.993968353438822, 0.9883057615516257, 0.9871662656124671], 'S_relative_errors': [0.04751639111644861, 0.0440772189169197, 0.05678944916931021], 'X_relative_errors': [0.7664125497974246, 0.7655582518650053, 0.7754269256069407], 'Sparsity': [0.051477551020408165, 0.05590204081632653, 0.06941224489795918], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [9.107643540484784, 8.740897459001854, 9.352436968460662], 'dual_residual': [9.107643540484784, 8.740897459001854, 9.352436968460662], 'times': [1.3926624746527523, 1.4060557414777577, 1.4041190829593688]}",0,COMPLETE
8,8,0.5,0.9999999999999997,2024-05-20 03:56:12.915151,2024-05-20 03:56:14.576637,0 days 00:00:01.661486,10.765896073016856,0.45954307545808,0.48873045405102145,1.0098851778100239e-05,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [0.9999999999999996, 0.9999999999999998, 0.9999999999999996], 'X_relative_errors': [1.6621233841279042, 1.7859009350749833, 1.839205036836411], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [55.58426250851207, 57.83693398606511, 63.79834319249326], 'dual_residual': [55.58426250851207, 57.83693398606511, 63.79834319249326], 'times': [1.4228244763799012, 1.3944845581427217, 1.438075492857024]}",0,COMPLETE
9,9,0.5,0.9999999999999997,2024-05-20 03:56:14.581703,2024-05-20 03:56:15.591293,0 days 00:00:01.009590,8.47793157165533,3.0262998354557484,74.95131377569847,0.8612430701652641,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [0.9999999999999996, 0.9999999999999998, 0.9999999999999996], 'X_relative_errors': [5.936866113268519, 6.485094883112066, 6.706403888704484], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [1, 1, 1], 'iterations': [68, 68, 68], 'primal_residual': [0.0008633547974635534, 0.000854611547005061, 0.000831680935101716], 'dual_residual': [0.0008633547974635534, 0.000854611547005061, 0.000831680935101716], 'times': [0.7550495460163802, 0.7461253411602229, 0.7438579020090401]}",0,COMPLETE
